Number Correct : 48352
Number Total : 56824
Percent : 85.09080670139377
Confusion matrix:
Predicted  #    $   ''   (   )     ,     .    :    CC    CD    DT  EX    IN    JJ  JJR  JJS   MD    NN   NNP  NNPS   NNS  POS   PRP  PRP$    RB  RBR    TO    VB   VBD  VBG  VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``
Actual                                                                                                                                                                                                              
           0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     1     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
#          5    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
$          0  371    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     4     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
''         0    0  529   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    4     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
(          0    0    0  76   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
)          0    0    0   0  76     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
,          0    0    0   0   0  3070     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
.          0    0    0   0   0     0  2363    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
:          0    0    0   0   0     0     0  336     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
CC         0    0    0   0   0     0     0    0  1334     0    11   0     0     0    0    0    0    27     0     0     0    0     0     0     1    0     0     0     0    0    0    0     0    0    0    0    0    0
CD         0    0    0   0   0     0     0    0     0  1457     0   0     0     0    0    0    0   475     3     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
DT         0    0    0   0   0     0     0    0     0     0  4778   0    39     2    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
EX         0    0    0   0   0     0     0    0     0     0     0  27     0     0    0    0    0     0     0     0     0    0     0     0    30    0     0     0     0    0    0    0     0    0    0    0    0    0
FW         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0    19     1     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
IN         0    0    0   0   0     0     0    0     0     0     7   0  5821     5    0    0    0    16     0     0     0    0     0     0    17    0     0     0     0    0    0    0     0    0    0    0    0    0
JJ         0    0    0   0   0     0     0    0     0     0     0   0    11  2401    0    1    0  1105    32     0     0    0     0     0    24    0     0     5    20   19   92    2     0    0    0    0    0    0
JJR        0    0    0   0   0     0     0    0     0     0     0   0     0     4  151    0    0    16     1     0     0    0     0     0     0   26     0     0     0    0    0    0     0    0    0    0    0    0
JJS        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0  117    0    11     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
LS         0    0    0   0   0     0     0    0     0     4     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
MD         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0  574    10     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
NN         0    0    0   0   0     0     0    0     1     0     4   0     1    71    0    0    2  7329    42     0     4    0     0     0     2    0     0    40    12   47    2   22     1    0    0    0    0    0
NNP        0    0    0   0   0     0     0    0     0     3     4   0     1    67    1    0    0  2349  3483    17    12    0     0     0     0    0     0     1     0    0    0    0     1    0    0    0    0    0
NNPS       0    0    0   0   0     0     0    0     0     0     0   0     0     5    0    0    0    19     2     6    10    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
